Date,Visitor,Visitor Score,Home Team,Home Score,Line
09/07/2013,Lamar,14,Louisiana Tech,27, 
09/07/2013,Nicholls State,27,Western Michigan,23, 
09/07/2013,Prairie View,3,Texas State,28, 
09/07/2013,Savannah State,3,Troy,66, 
09/07/2013,South Dakota,14,Kansas,31, 
09/07/2013,Central Arkansas,24,Colorado,38, 
09/07/2013,Montana State,30,S-M-U,31, 
09/07/2013,Austin Peay,3,Vanderbilt,38, 
09/07/2013,S E Missouri St,13,Mississippi,31, 
09/07/2013,UC-Davis,7,Nevada-Reno,36, 
09/07/2013,Cal-San Luis Obispo,25,Fresno State,41, 
09/12/2013,Texas Christian,10,Texas Tech,20,-3.0
09/12/2013,Tulane,24,Louisiana Tech,15,7.0
09/12/2013,Troy,34,Arkansas State,41,6.5
09/13/2013,Air Force,20,Boise State,42,24.0
09/14/2013,Eastern Michigan,10,Rutgers,28,28.0
09/14/2013,Stanford,34,Army,20,-31.0
09/14/2013,Georgia State,7,West Virginia,41,40.5
09/14/2013,Louisville,27,Kentucky,13,-14.5
09/14/2013,Marshall,31,Ohio,34,-8.0
09/14/2013,Akron,24,Michigan,28,36.5
09/14/2013,Bowling Green,10,Indiana,42,2.5
09/14/2013,Virginia Tech,15,East Carolina,10,-8.0
09/14/2013,Maryland,32,Connecticut,21,-6.0
09/14/2013,New Mexico,27,Pittsburgh,49,22.0
09/14/2013,UL-Monroe,21,Wake Forest,19,1.5
09/14/2013,Western Kentucky,24,South Alabama,31,-7.0
09/14/2013,Nevada-Reno,7,Florida State,62,35.5
09/14/2013,U.C.L.A.,41,Nebraska,21,0.0
09/14/2013,Georgia Tech,38,Duke,14,-4.5
09/14/2013,Tennessee,14,Oregon,59,28.5
09/14/2013,Mississippi,44,Texas,23,2.0
09/14/2013,Boston College,7,Southern Cal,35,14.0
09/14/2013,Iowa,27,Iowa State,21,-2.0
09/14/2013,Alabama,49,Texas A+M,42,-9.0
09/14/2013,Northern Illinois,45,Idaho,35,-30.5
09/14/2013,Mississippi State,20,Auburn,24,6.5
09/14/2013,Washington,34,Illinois,24,-10.5
09/14/2013,U-C-F,34,Penn State,31,5.0
09/14/2013,Ball State,27,North Texas,34,-3.5
09/14/2013,Memphis,15,Middle Tennessee,17,9.5
09/14/2013,Southern Miss,3,Arkansas,24,24.5
09/14/2013,Vanderbilt,25,South Carolina,35,13.5
09/14/2013,Tulsa,20,Oklahoma,51,23.5
09/14/2013,Ohio State,52,California,34,-15.5
09/14/2013,Massachusetts,7,Kansas State,37,38.0
09/14/2013,Florida Atlantic,28,South Florida,10,12.5
09/14/2013,Kansas,14,Rice,23,7.0
09/14/2013,Kent State,13,Louisiana State,45,36.5
09/14/2013,Notre Dame,31,Purdue,24,-19.0
09/14/2013,UTEP,42,New Mexico State,21,-3.5
09/14/2013,Western Michigan,17,Northwestern,38,28.5
09/14/2013,Texas-San Antonio,13,Arizona,38,25.0
09/14/2013,Oregon State,51,Utah,48,3.5
09/14/2013,Central Michigan,21,Nevada-Las Vegas,31,8.0
09/14/2013,Wisconsin,30,Arizona State,32,4.0
09/14/2013,Western Illinois,12,Minnesota,29, 
09/14/2013,Fordham,30,Temple,29, 
09/14/2013,Youngstown State,17,Michigan State,55, 
09/14/2013,Delaware,7,Navy,51, 
09/14/2013,Stony Brook,23,Buffalo,26, 
09/14/2013,Wagner,0,Syracuse,54, 
09/14/2013,Bethune-Cookman,34,Florida Intl,13, 
09/14/2013,Cal-San Luis Obispo,17,Colorado State,34, 
09/14/2013,Eastern Washington,21,Toledo,33, 
09/14/2013,Nicholls State,7,UL-Lafayette,70, 
09/14/2013,Northwestern St(LA),9,Cincinnati,66, 
09/14/2013,Lamar,3,Oklahoma State,59, 
09/14/2013,Northern Colorado,7,Wyoming,35, 
09/14/2013,Weber State,6,Utah State,70, 
09/14/2013,Southern Utah,10,Washington State,48, 
09/19/2013,Clemson,26,No Carolina State,14,-14.0
09/20/2013,Boise State,40,Fresno State,41,4.0
09/21/2013,North Texas,21,Georgia,45,34.5
09/21/2013,Florida Intl,0,Louisville,72,41.5
09/21/2013,Western Michigan,3,Iowa,59,16.0
09/21/2013,Vanderbilt,24,Massachusetts,7,-29.5
09/21/2013,Tennessee,17,Florida,31,15.5
09/21/2013,Wake Forest,25,Army,11,-2.5
09/21/2013,Pittsburgh,58,Duke,55,-4.5
09/21/2013,Michigan,24,Connecticut,21,-19.5
09/21/2013,Purdue,10,Wisconsin,41,22.5
09/21/2013,Ball State,51,Eastern Michigan,20,-10.5
09/21/2013,Kent State,0,Penn State,34,23.0
09/21/2013,Marshall,21,Virginia Tech,29,8.5
09/21/2013,Cincinnati,14,Miami-Ohio,0,-24.5
09/21/2013,North Carolina,20,Georgia Tech,28,7.0
09/21/2013,West Virginia,0,Maryland,37,4.5
09/21/2013,San Jose State,24,Minnesota,43,3.5
09/21/2013,Troy,7,Mississippi State,62,13.5
09/21/2013,UL-Monroe,7,Baylor,70,31.0
09/21/2013,Wyoming,56,Air Force,23,-5.0
09/21/2013,Utah,20,Brigham Young,13,7.0
09/21/2013,Hawaii,9,Nevada-Reno,31,7.5
09/21/2013,Utah State,14,Southern Cal,17,7.0
09/21/2013,S-M-U,13,Texas A+M,42,28.5
09/21/2013,Rice,26,Houston,31,3.0
09/21/2013,Michigan State,13,Notre Dame,17,4.5
09/21/2013,Kansas State,21,Texas,31,5.5
09/21/2013,Arkansas State,7,Memphis,31,-4.5
09/21/2013,Louisiana Tech,10,Kansas,13,10.5
09/21/2013,Colorado State,6,Alabama,31,39.0
09/21/2013,Arkansas,24,Rutgers,28,0.0
09/21/2013,Arizona State,28,Stanford,42,7.0
09/21/2013,UL-Lafayette,35,Akron,30,-7.0
09/21/2013,Idaho,0,Washington State,42,30.5
09/21/2013,Middle Tennessee,48,Florida Atlantic,35,-3.0
09/21/2013,Tulane,17,Syracuse,52,17.0
09/21/2013,Toledo,38,Central Michigan,17,-14.0
09/21/2013,Texas State,7,Texas Tech,33,27.5
09/21/2013,Oregon State,34,San Diego State,30,-7.0
09/21/2013,Auburn,21,Louisiana State,35,17.0
09/21/2013,Texas-San Antonio,32,UTEP,13,-3.0
09/21/2013,Missouri,45,Indiana,28,-2.5
09/21/2013,New Mexico State,13,U.C.L.A.,59,44.5
09/21/2013,Savannah State,7,Miami-Florida,77, 
09/21/2013,South Dakota State,20,Nebraska,59, 
09/21/2013,Jacksonville St,32,Georgia State,26, 
09/21/2013,Austin Peay,0,Ohio,38, 
09/21/2013,Northwestern St(LA),28,U-A-B,52, 
09/21/2013,Bethune-Cookman,6,Florida State,54, 
09/21/2013,Murray State,7,Bowling Green,48, 
09/21/2013,Virginia Military,0,Virginia,49, 
09/21/2013,Idaho State,0,Washington,56, 
09/21/2013,Eastern Illinois,39,Northern Illinois,43, 
09/21/2013,Florida A+M,0,Ohio State,76, 
09/21/2013,Morgan State,17,Western Kentucky,58, 
09/21/2013,Maine,21,Northwestern,35, 
09/21/2013,Western Illinois,7,Nevada-Las Vegas,38, 
09/26/2013,Virginia Tech,17,Georgia Tech,10,7.5
09/26/2013,Iowa State,38,Tulsa,21,3.0
09/27/2013,Middle Tennessee,10,Brigham Young,37,23.0
09/27/2013,Utah State,40,San Jose State,12,-10.5
09/28/2013,Virginia,3,Pittsburgh,14,6.0
09/28/2013,Northern Illinois,55,Purdue,24,-4.0
09/28/2013,Troy,31,Duke,38,13.5
09/28/2013,Connecticut,12,Buffalo,41,-1.5
09/28/2013,Toledo,24,Ball State,31,1.5
09/28/2013,Central Michigan,14,No Carolina State,48,24.0
09/28/2013,Kent State,32,Western Michigan,14,-2.0
09/28/2013,East Carolina,55,North Carolina,31,12.5
09/28/2013,Florida State,48,Boston College,34,-24.5
09/28/2013,U-A-B,24,Vanderbilt,52,20.0
09/28/2013,Miami-Ohio,14,Illinois,50,28.5
09/28/2013,S-M-U,17,Texas Christian,48,17.0
09/28/2013,Arkansas State,19,Missouri,41,22.5
09/28/2013,Iowa,23,Minnesota,7,-2.5
09/28/2013,UTEP,42,Colorado State,59,13.5
09/28/2013,Louisiana State,41,Georgia,44,3.0
09/28/2013,Arizona,13,Washington,31,9.5
09/28/2013,Mississippi,0,Alabama,25,14.5
09/28/2013,California,16,Oregon,55,38.5
09/28/2013,Southern Cal,41,Arizona State,62,4.5
09/28/2013,Army,35,Louisiana Tech,16,3.5
09/28/2013,Texas A+M,45,Arkansas,33,-14.5
09/28/2013,Oklahoma,35,Notre Dame,21,-4.5
09/28/2013,Southern Miss,7,Boise State,60,29.0
09/28/2013,Miami-Florida,49,South Florida,21,-18.5
09/28/2013,Wake Forest,7,Clemson,56,29.5
09/28/2013,Temple,24,Idaho,26,-7.5
09/28/2013,Tulane,31,UL-Monroe,14,12.5
09/28/2013,Houston,59,Texas-San Antonio,28,2.0
09/28/2013,Akron,14,Bowling Green,31,15.0
09/28/2013,Colorado,17,Oregon State,44,12.0
09/28/2013,South Carolina,28,U-C-F,25,-7.0
09/28/2013,Florida,24,Kentucky,7,-12.0
09/28/2013,Stanford,55,Washington State,17,-9.5
09/28/2013,Wyoming,21,Texas State,42,-11.0
09/28/2013,Navy,7,Western Kentucky,19,-4.0
09/28/2013,Florida Atlantic,14,Rice,18,14.5
09/28/2013,South Alabama,24,Tennessee,31,17.0
09/28/2013,Air Force,42,Nevada-Reno,45,12.5
09/28/2013,Oklahoma State,21,West Virginia,30,-20.0
09/28/2013,Wisconsin,24,Ohio State,31,7.5
09/28/2013,Nevada-Las Vegas,56,New Mexico,42,1.5
09/28/2013,San Diego State,26,New Mexico State,16,-16.5
09/28/2013,Fresno State,42,Hawaii,37,-17.5
10/03/2013,Texas,31,Iowa State,30,-7.5
10/03/2013,Western Kentucky,31,UL-Monroe,10,-8.0
10/03/2013,U.C.L.A.,34,Utah,27,-6.5
10/04/2013,Brigham Young,31,Utah State,14,6.5
10/04/2013,Nevada-Reno,44,San Diego State,51,6.0
10/05/2013,Air Force,10,Navy,28,13.5
10/05/2013,Michigan State,26,Iowa,14,2.0
10/05/2013,Louisville,30,Temple,7,-34.0
10/05/2013,Western Michigan,20,Toledo,47,23.5
10/05/2013,Eastern Michigan,14,Buffalo,42,13.5
10/05/2013,Georgia State,3,Alabama,45,53.5
10/05/2013,Army,27,Boston College,48,12.0
10/05/2013,Central Michigan,21,Miami-Ohio,9,-3.0
10/05/2013,Ball State,48,Virginia,27,3.0
10/05/2013,Maryland,0,Florida State,63,17.0
10/05/2013,Georgia Tech,30,Miami-Florida,45,7.0
10/05/2013,Clemson,49,Syracuse,14,-14.5
10/05/2013,No Carolina State,13,Wake Forest,28,-8.0
10/05/2013,Illinois,19,Nebraska,39,8.0
10/05/2013,Texas-San Antonio,10,Marshall,34,15.0
10/05/2013,North Texas,21,Tulane,24,-3.0
10/05/2013,Oregon,57,Colorado,16,-40.5
10/05/2013,Georgia,34,Tennessee,31,-14.0
10/05/2013,Arkansas,10,Florida,30,13.0
10/05/2013,Louisiana State,59,Mississippi State,26,-9.0
10/05/2013,Rice,30,Tulsa,27,3.0
10/05/2013,North Carolina,17,Virginia Tech,27,9.0
10/05/2013,Texas Christian,17,Oklahoma,20,9.5
10/05/2013,Cincinnati,20,South Florida,26,-12.0
10/05/2013,Kansas State,29,Oklahoma State,33,14.0
10/05/2013,Missouri,51,Vanderbilt,28,-2.0
10/05/2013,Minnesota,13,Michigan,42,19.0
10/05/2013,U-C-F,24,Memphis,17,-10.0
10/05/2013,Rutgers,55,S-M-U,52,-4.5
10/05/2013,Fresno State,61,Idaho,14,-28.0
10/05/2013,Texas State,24,UL-Lafayette,48,11.0
10/05/2013,South Alabama,33,Troy,34,3.5
10/05/2013,New Mexico State,17,New Mexico,66,11.0
10/05/2013,Washington State,44,California,22,-2.0
10/05/2013,Washington,28,Stanford,31,9.5
10/05/2013,Northern Illinois,38,Kent State,24,-9.0
10/05/2013,Mississippi,22,Auburn,30,-3.0
10/05/2013,Kentucky,28,South Carolina,35,21.5
10/05/2013,Florida Intl,24,Southern Miss,23,16.5
10/05/2013,Massachusetts,7,Bowling Green,28,27.0
10/05/2013,Florida Atlantic,37,U-A-B,23,4.0
10/05/2013,Texas Tech,54,Kansas,16,-17.0
10/05/2013,East Carolina,24,Middle Tennessee,17,-7.5
10/05/2013,Ohio,43,Akron,3,-3.0
10/05/2013,Arizona State,34,Notre Dame,37,-6.5
10/05/2013,West Virginia,42,Baylor,73,29.0
10/05/2013,Louisiana Tech,38,UTEP,35,-2.5
10/05/2013,Ohio State,40,Northwestern,30,-7.0
10/05/2013,Penn State,24,Indiana,44,-4.0
10/05/2013,San Jose State,37,Hawaii,27,-4.0
10/10/2013,Rutgers,10,Louisville,24,19.0
10/10/2013,San Diego State,27,Air Force,20,-4.0
10/10/2013,Arizona,31,Southern Cal,38,6.0
10/11/2013,Temple,20,Cincinnati,38,20.0
10/12/2013,Oklahoma,20,Texas,36,-13.5
10/12/2013,Indiana,28,Michigan State,42,10.0
10/12/2013,Pittsburgh,9,Virginia Tech,19,7.0
10/12/2013,Miami-Ohio,10,Massachusetts,17,6.5
10/12/2013,Boston College,14,Clemson,24,23.5
10/12/2013,Buffalo,33,Western Michigan,0,-9.5
10/12/2013,Central Michigan,26,Ohio,23,20.0
10/12/2013,Eastern Michigan,25,Army,50,10.0
10/12/2013,Virginia,26,Maryland,27,5.0
10/12/2013,South Florida,13,Connecticut,10,4.0
10/12/2013,Navy,7,Duke,35,4.5
10/12/2013,Troy,35,Georgia State,28,-15.0
10/12/2013,Texas A+M,41,Mississippi,38,-7.0
10/12/2013,Kent State,24,Ball State,27,13.5
10/12/2013,Bowling Green,20,Mississippi State,21,11.5
10/12/2013,Akron,20,Northern Illinois,27,24.0
10/12/2013,Iowa State,35,Texas Tech,42,14.0
10/12/2013,Rice,27,Texas-San Antonio,21,-1.0
10/12/2013,New Mexico,31,Wyoming,38,13.0
10/12/2013,Stanford,21,Utah,27,-7.0
10/12/2013,Georgia Tech,20,Brigham Young,38,7.0
10/12/2013,Nebraska,44,Purdue,7,-13.0
10/12/2013,Missouri,41,Georgia,26,7.0
10/12/2013,Baylor,35,Kansas State,25,-16.5
10/12/2013,Florida,6,Louisiana State,17,7.0
10/12/2013,Colorado,13,Arizona State,54,28.0
10/12/2013,Oregon,45,Washington,24,-12.0
10/12/2013,California,10,U.C.L.A.,37,25.5
10/12/2013,Northwestern,6,Wisconsin,35,11.0
10/12/2013,East Carolina,33,Tulane,36,-13.5
10/12/2013,South Carolina,52,Arkansas,7,-5.0
10/12/2013,Alabama,48,Kentucky,7,-26.0
10/12/2013,San Jose State,34,Colorado State,27,3.5
10/12/2013,Idaho,24,Arkansas State,48,26.5
10/12/2013,Michigan,40,Penn State,43,-1.0
10/12/2013,Syracuse,24,No Carolina State,10,6.0
10/12/2013,Memphis,15,Houston,25,8.0
10/12/2013,U-A-B,27,Florida Intl,24,-6.0
10/12/2013,Marshall,24,Florida Atlantic,23,-10.0
10/12/2013,Kansas,17,Texas Christian,27,24.0
10/12/2013,Middle Tennessee,7,North Texas,34,6.0
10/12/2013,UL-Monroe,21,Texas State,14,5.5
10/12/2013,Boise State,34,Utah State,23,-5.0
10/12/2013,Oregon State,52,Washington State,24,0.0
10/12/2013,Tulsa,34,UTEP,20,-10.0
10/12/2013,Hawaii,37,Nevada-Las Vegas,39,7.5
10/12/2013,Western Carolina,3,Auburn,62, 
10/15/2013,UL-Lafayette,37,Western Kentucky,20,3.0
10/17/2013,Miami-Florida,27,North Carolina,23,-9.0
10/18/2013,U-C-F,38,Louisville,35,14.5
10/19/2013,Duke,35,Virginia,22,2.5
10/19/2013,Army,14,Temple,33,-1.0
10/19/2013,Ohio,56,Eastern Michigan,28,-13.5
10/19/2013,Ball State,38,Western Michigan,17,-18.5
10/19/2013,Northern Illinois,38,Central Michigan,17,-14.5
10/19/2013,Purdue,0,Michigan State,14,28.0
10/19/2013,Southern Miss,14,East Carolina,55,24.0
10/19/2013,Florida State,51,Clemson,14,-4.5
10/19/2013,Maryland,10,Wake Forest,34,-4.5
10/19/2013,Texas Tech,37,West Virginia,27,-3.5
10/19/2013,Minnesota,20,Northwestern,17,12.5
10/19/2013,Navy,44,Toledo,45,9.0
10/19/2013,Connecticut,16,Cincinnati,41,14.0
10/19/2013,S-M-U,34,Memphis,29,3.5
10/19/2013,Colorado State,52,Wyoming,22,6.5
10/19/2013,Auburn,45,Texas A+M,41,12.5
10/19/2013,Washington State,38,Oregon,62,39.5
10/19/2013,Indiana,47,Michigan,63,8.5
10/19/2013,Syracuse,0,Georgia Tech,56,7.0
10/19/2013,Oregon State,49,California,17,-11.0
10/19/2013,Iowa,24,Ohio State,34,19.0
10/19/2013,Arkansas,0,Alabama,52,29.0
10/19/2013,South Carolina,21,Tennessee,23,-7.0
10/19/2013,Washington,24,Arizona State,53,3.5
10/19/2013,North Texas,28,Louisiana Tech,13,-3.5
10/19/2013,Kent State,21,South Alabama,38,7.5
10/19/2013,Utah State,45,New Mexico,10,-14.0
10/19/2013,Florida,17,Missouri,36,-3.0
10/19/2013,Louisiana State,24,Mississippi,27,-10.0
10/19/2013,Brigham Young,47,Houston,46,-10.0
10/19/2013,Massachusetts,3,Buffalo,32,19.5
10/19/2013,Georgia State,17,Texas State,24,16.0
10/19/2013,Akron,24,Miami-Ohio,17,-6.0
10/19/2013,Iowa State,7,Baylor,71,33.0
10/19/2013,Oklahoma,34,Kansas,19,-21.0
10/19/2013,Texas Christian,10,Oklahoma State,24,6.5
10/19/2013,U.C.L.A.,10,Stanford,24,4.0
10/19/2013,Southern Cal,10,Notre Dame,14,2.0
10/19/2013,Rice,45,New Mexico State,19,-17.0
10/19/2013,Nevada-Reno,17,Boise State,34,23.5
10/19/2013,Wisconsin,56,Illinois,32,-14.5
10/19/2013,Georgia,27,Vanderbilt,31,-6.5
10/19/2013,Utah,24,Arizona,35,3.5
10/19/2013,Nevada-Las Vegas,14,Fresno State,38,24.5
10/19/2013,Old Dominion,24,Pittsburgh,35, 
10/19/2013,Charleston Southern,10,Colorado,43, 
10/22/2013,UL-Lafayette,23,Arkansas State,7,-1.0
10/24/2013,Kentucky,22,Mississippi State,28,12.0
10/24/2013,Marshall,49,Middle Tennessee,51,-9.5
10/25/2013,Boise State,20,Brigham Young,37,6.5
10/26/2013,Georgia Tech,35,Virginia,25,-10.0
10/26/2013,Connecticut,17,U-C-F,62,24.5
10/26/2013,Ball State,42,Akron,24,-9.5
10/26/2013,Miami-Ohio,16,Ohio,41,26.0
10/26/2013,Buffalo,41,Kent State,21,-3.0
10/26/2013,Western Michigan,31,Massachusetts,30,4.5
10/26/2013,Houston,49,Rutgers,14,7.0
10/26/2013,Boston College,10,North Carolina,34,5.5
10/26/2013,Clemson,40,Maryland,27,-16.5
10/26/2013,Duke,13,Virginia Tech,10,12.0
10/26/2013,Pittsburgh,21,Navy,24,-4.5
10/26/2013,U-A-B,31,Texas-San Antonio,52,8.0
10/26/2013,Temple,49,S-M-U,59,14.0
10/26/2013,Eastern Michigan,20,Northern Illinois,59,31.5
10/26/2013,Arizona,44,Colorado,20,-12.5
10/26/2013,Vanderbilt,24,Texas A+M,56,17.5
10/26/2013,Florida Atlantic,10,Auburn,45,23.0
10/26/2013,Tennessee,10,Alabama,45,27.5
10/26/2013,U.C.L.A.,14,Oregon,42,23.5
10/26/2013,Utah,3,Southern Cal,19,4.5
10/26/2013,Tulsa,7,Tulane,14,-3.0
10/26/2013,California,17,Washington,41,28.0
10/26/2013,West Virginia,12,Kansas State,35,13.0
10/26/2013,Michigan State,42,Illinois,3,-8.0
10/26/2013,Wake Forest,21,Miami-Florida,24,25.5
10/26/2013,No Carolina State,17,Florida State,49,35.0
10/26/2013,Texas Tech,30,Oklahoma,38,6.5
10/26/2013,Texas,30,Texas Christian,7,3.0
10/26/2013,Northwestern,10,Iowa,17,3.5
10/26/2013,Nevada-Las Vegas,27,Nevada-Reno,22,6.0
10/26/2013,Wyoming,44,San Jose State,51,10.5
10/26/2013,Stanford,20,Oregon State,12,-4.0
10/26/2013,Troy,32,Western Kentucky,26,10.0
10/26/2013,Notre Dame,45,Air Force,10,-19.5
10/26/2013,Georgia State,10,UL-Monroe,38,15.5
10/26/2013,South Alabama,31,Texas State,33,-2.5
10/26/2013,Idaho,14,Mississippi,59,41.5
